begin_datetime_utc,fuel_type,sub_fuel_type,net_generation_mw,max_capability_mw
2021-06-01T06:00:00Z,COAL,COAL,1997.164662344522,3731
2021-06-01T06:00:00Z,DUAL FUEL,DUAL FUEL,349.6085825517443,940
2021-06-01T06:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T06:00:00Z,GAS,COGENERATION,3674.008222720159,5081
2021-06-01T06:00:00Z,GAS,COMBINED CYCLE,1254.0945721064672,1756
2021-06-01T06:00:00Z,GAS,GAS FIRED STEAM,201.81547359890408,401
2021-06-01T06:00:00Z,GAS,SIMPLE CYCLE,325.4142321843571,1140
2021-06-01T06:00:00Z,HYDRO,HYDRO,245.74014230608938,894
2021-06-01T06:00:00Z,OTHER,BIOMASS,69.85227395587498,154
2021-06-01T06:00:00Z,OTHER,GAS COGEN,24.23408410496182,58
2021-06-01T06:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T06:00:00Z,OTHER,WOOD/REFUSE,66.79955453024971,158
2021-06-01T06:00:00Z,SOLAR,SOLAR,0,290
2021-06-01T06:00:00Z,WIND,WIND,171.22028715595602,1781
2021-06-01T07:00:00Z,COAL,COAL,1970.3390384928384,3731
2021-06-01T07:00:00Z,DUAL FUEL,DUAL FUEL,270.134745549096,940
2021-06-01T07:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T07:00:00Z,GAS,COGENERATION,3682.029731729759,5081
2021-06-01T07:00:00Z,GAS,COMBINED CYCLE,1215.6053014323447,1756
2021-06-01T07:00:00Z,GAS,GAS FIRED STEAM,164.71675405290392,401
2021-06-01T07:00:00Z,GAS,SIMPLE CYCLE,316.1694776409202,1140
2021-06-01T07:00:00Z,HYDRO,HYDRO,216.99650961611007,894
2021-06-01T07:00:00Z,OTHER,BIOMASS,70.5582300848431,154
2021-06-01T07:00:00Z,OTHER,GAS COGEN,23.730602411693997,58
2021-06-01T07:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T07:00:00Z,OTHER,WOOD/REFUSE,66.88627418994903,158
2021-06-01T07:00:00Z,SOLAR,SOLAR,0,290
2021-06-01T07:00:00Z,WIND,WIND,197.14165876862074,1781
2021-06-01T08:00:00Z,COAL,COAL,1907.6099232821994,3731
2021-06-01T08:00:00Z,DUAL FUEL,DUAL FUEL,273.624419904285,940
2021-06-01T08:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T08:00:00Z,GAS,COGENERATION,3682.9300498240523,5081
2021-06-01T08:00:00Z,GAS,COMBINED CYCLE,1200.1506155988905,1756
2021-06-01T08:00:00Z,GAS,GAS FIRED STEAM,96.35527931637236,401
2021-06-01T08:00:00Z,GAS,SIMPLE CYCLE,273.03516970607967,1140
2021-06-01T08:00:00Z,HYDRO,HYDRO,219.14290707031887,894
2021-06-01T08:00:00Z,OTHER,BIOMASS,68.76466905117036,154
2021-06-01T08:00:00Z,OTHER,GAS COGEN,23.69281724188063,58
2021-06-01T08:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T08:00:00Z,OTHER,WOOD/REFUSE,64.73525958749983,158
2021-06-01T08:00:00Z,SOLAR,SOLAR,0,290
2021-06-01T08:00:00Z,WIND,WIND,257.67079050401844,1781
2021-06-01T09:00:00Z,COAL,COAL,1957.878677359687,3731
2021-06-01T09:00:00Z,DUAL FUEL,DUAL FUEL,273.0725333489312,940
2021-06-01T09:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T09:00:00Z,GAS,COGENERATION,3685.9505389417873,5081
2021-06-01T09:00:00Z,GAS,COMBINED CYCLE,1056.7908981074227,1756
2021-06-01T09:00:00Z,GAS,GAS FIRED STEAM,97.80596423255072,401
2021-06-01T09:00:00Z,GAS,SIMPLE CYCLE,273.4144087598059,1140
2021-06-01T09:00:00Z,HYDRO,HYDRO,218.22664905442133,894
2021-06-01T09:00:00Z,OTHER,BIOMASS,65.03504989729987,154
2021-06-01T09:00:00Z,OTHER,GAS COGEN,23.64279720094469,58
2021-06-01T09:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T09:00:00Z,OTHER,WOOD/REFUSE,64.46300742573209,158
2021-06-01T09:00:00Z,SOLAR,SOLAR,0,290
2021-06-01T09:00:00Z,WIND,WIND,303.7516433562752,1781
2021-06-01T10:00:00Z,COAL,COAL,1902.5673761664495,3731
2021-06-01T10:00:00Z,DUAL FUEL,DUAL FUEL,271.7499097654554,940
2021-06-01T10:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T10:00:00Z,GAS,COGENERATION,3631.613496279915,5081
2021-06-01T10:00:00Z,GAS,COMBINED CYCLE,1065.7857429324256,1756
2021-06-01T10:00:00Z,GAS,GAS FIRED STEAM,98.30023628234864,401
2021-06-01T10:00:00Z,GAS,SIMPLE CYCLE,277.88555384821365,1140
2021-06-01T10:00:00Z,HYDRO,HYDRO,213.3932025220659,894
2021-06-01T10:00:00Z,OTHER,BIOMASS,65.3766984685262,154
2021-06-01T10:00:00Z,OTHER,GAS COGEN,24.704852805667453,58
2021-06-01T10:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T10:00:00Z,OTHER,WOOD/REFUSE,64.47706898000506,158
2021-06-01T10:00:00Z,SOLAR,SOLAR,0,290
2021-06-01T10:00:00Z,WIND,WIND,379.75111049633887,1781
2021-06-01T11:00:00Z,COAL,COAL,1884.7258118014865,3731
2021-06-01T11:00:00Z,DUAL FUEL,DUAL FUEL,272.6568915557861,940
2021-06-01T11:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T11:00:00Z,GAS,COGENERATION,3650.82171061443,5081
2021-06-01T11:00:00Z,GAS,COMBINED CYCLE,1090.6361074686051,1756
2021-06-01T11:00:00Z,GAS,GAS FIRED STEAM,98.16845322079128,401
2021-06-01T11:00:00Z,GAS,SIMPLE CYCLE,309.6823101141718,1140
2021-06-01T11:00:00Z,HYDRO,HYDRO,237.02316242072317,894
2021-06-01T11:00:00Z,OTHER,BIOMASS,65.78093427975972,154
2021-06-01T11:00:00Z,OTHER,GAS COGEN,25.698499410417345,58
2021-06-01T11:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T11:00:00Z,OTHER,WOOD/REFUSE,64.49183437241449,158
2021-06-01T11:00:00Z,SOLAR,SOLAR,0.27099998384714125,290
2021-06-01T11:00:00Z,WIND,WIND,334.66126405861644,1781
2021-06-01T12:00:00Z,COAL,COAL,1930.2609975348578,3731
2021-06-01T12:00:00Z,DUAL FUEL,DUAL FUEL,275.212374669181,940
2021-06-01T12:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T12:00:00Z,GAS,COGENERATION,3586.927910852035,5081
2021-06-01T12:00:00Z,GAS,COMBINED CYCLE,1260.751751870579,1756
2021-06-01T12:00:00Z,GAS,GAS FIRED STEAM,164.2245170296563,401
2021-06-01T12:00:00Z,GAS,SIMPLE CYCLE,386.4728392090731,1140
2021-06-01T12:00:00Z,HYDRO,HYDRO,233.74813419977824,894
2021-06-01T12:00:00Z,OTHER,BIOMASS,65.63143378151787,154
2021-06-01T12:00:00Z,OTHER,GAS COGEN,25.58473293410407,58
2021-06-01T12:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T12:00:00Z,OTHER,WOOD/REFUSE,61.6757003625234,158
2021-06-01T12:00:00Z,SOLAR,SOLAR,10.067610852122307,290
2021-06-01T12:00:00Z,WIND,WIND,292.54169532443086,1781
2021-06-01T13:00:00Z,COAL,COAL,1912.9722753651936,3731
2021-06-01T13:00:00Z,DUAL FUEL,DUAL FUEL,361.6385784477658,940
2021-06-01T13:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T13:00:00Z,GAS,COGENERATION,3647.9491389595137,5081
2021-06-01T13:00:00Z,GAS,COMBINED CYCLE,1299.2403898096086,1756
2021-06-01T13:00:00Z,GAS,GAS FIRED STEAM,118.49762040879992,401
2021-06-01T13:00:00Z,GAS,SIMPLE CYCLE,386.5378397756815,1140
2021-06-01T13:00:00Z,HYDRO,HYDRO,282.13343814051814,894
2021-06-01T13:00:00Z,OTHER,BIOMASS,63.020940943823916,154
2021-06-01T13:00:00Z,OTHER,GAS COGEN,25.64154160923428,58
2021-06-01T13:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T13:00:00Z,OTHER,WOOD/REFUSE,59.46449040306939,158
2021-06-01T13:00:00Z,SOLAR,SOLAR,54.873832580712104,290
2021-06-01T13:00:00Z,WIND,WIND,288.80678849692976,1781
2021-06-01T14:00:00Z,COAL,COAL,1923.5483953518337,3731
2021-06-01T14:00:00Z,DUAL FUEL,DUAL FUEL,372.180229473114,940
2021-06-01T14:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T14:00:00Z,GAS,COGENERATION,3633.614256518682,5081
2021-06-01T14:00:00Z,GAS,COMBINED CYCLE,1349.880587330924,1756
2021-06-01T14:00:00Z,GAS,GAS FIRED STEAM,339.86716701083714,401
2021-06-01T14:00:00Z,GAS,SIMPLE CYCLE,447.7006677695447,1140
2021-06-01T14:00:00Z,HYDRO,HYDRO,324.67619137795435,894
2021-06-01T14:00:00Z,OTHER,BIOMASS,64.32805218272739,154
2021-06-01T14:00:00Z,OTHER,GAS COGEN,25.570297672483655,58
2021-06-01T14:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T14:00:00Z,OTHER,WOOD/REFUSE,56.67785098605686,158
2021-06-01T14:00:00Z,SOLAR,SOLAR,120.851108921104,290
2021-06-01T14:00:00Z,WIND,WIND,200.53821015371216,1781
2021-06-01T15:00:00Z,COAL,COAL,1991.549944313897,3731
2021-06-01T15:00:00Z,DUAL FUEL,DUAL FUEL,469.15515279875865,940
2021-06-01T15:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T15:00:00Z,GAS,COGENERATION,3617.055223234362,5081
2021-06-01T15:00:00Z,GAS,COMBINED CYCLE,1337.7694417783948,1756
2021-06-01T15:00:00Z,GAS,GAS FIRED STEAM,384.79870603773327,401
2021-06-01T15:00:00Z,GAS,SIMPLE CYCLE,560.0857950094673,1140
2021-06-01T15:00:00Z,HYDRO,HYDRO,287.2481498677201,894
2021-06-01T15:00:00Z,OTHER,BIOMASS,63.58162898487515,154
2021-06-01T15:00:00Z,OTHER,GAS COGEN,26.666594915390014,58
2021-06-01T15:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T15:00:00Z,OTHER,WOOD/REFUSE,56.23810842461056,158
2021-06-01T15:00:00Z,SOLAR,SOLAR,183.48671868986554,290
2021-06-01T15:00:00Z,WIND,WIND,166.60598091385432,1781
2021-06-01T16:00:00Z,COAL,COAL,2084.050254898071,3731
2021-06-01T16:00:00Z,DUAL FUEL,DUAL FUEL,619.3288390933143,940
2021-06-01T16:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.2542219977908664,30
2021-06-01T16:00:00Z,GAS,COGENERATION,3587.0678631512324,5081
2021-06-01T16:00:00Z,GAS,COMBINED CYCLE,1424.8613408112196,1756
2021-06-01T16:00:00Z,GAS,GAS FIRED STEAM,223.74048899756536,401
2021-06-01T16:00:00Z,GAS,SIMPLE CYCLE,596.4949414798617,1140
2021-06-01T16:00:00Z,HYDRO,HYDRO,314.96311103277736,894
2021-06-01T16:00:00Z,OTHER,BIOMASS,62.030569632848106,154
2021-06-01T16:00:00Z,OTHER,GAS COGEN,32.482032805548776,58
2021-06-01T16:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T16:00:00Z,OTHER,WOOD/REFUSE,53.13080553001827,158
2021-06-01T16:00:00Z,SOLAR,SOLAR,239.77421766678492,290
2021-06-01T16:00:00Z,WIND,WIND,154.55913505479694,1781
2021-06-01T17:00:00Z,COAL,COAL,2102.037184575399,3731
2021-06-01T17:00:00Z,DUAL FUEL,DUAL FUEL,600.8072469626533,940
2021-06-01T17:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.4132219229804145,30
2021-06-01T17:00:00Z,GAS,COGENERATION,3554.718540403313,5081
2021-06-01T17:00:00Z,GAS,COMBINED CYCLE,1500.008523130417,1756
2021-06-01T17:00:00Z,GAS,GAS FIRED STEAM,93.58429419199624,401
2021-06-01T17:00:00Z,GAS,SIMPLE CYCLE,610.9046546358533,1140
2021-06-01T17:00:00Z,HYDRO,HYDRO,345.6071756715907,894
2021-06-01T17:00:00Z,OTHER,BIOMASS,64.0547234858407,154
2021-06-01T17:00:00Z,OTHER,GAS COGEN,27.03523546324836,58
2021-06-01T17:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T17:00:00Z,OTHER,WOOD/REFUSE,57.61877066453298,158
2021-06-01T17:00:00Z,SOLAR,SOLAR,269.2962712401814,290
2021-06-01T17:00:00Z,WIND,WIND,114.58561707821984,1781
2021-06-01T18:00:00Z,COAL,COAL,2174.8272597927516,3731
2021-06-01T18:00:00Z,DUAL FUEL,DUAL FUEL,612.4407881291708,940
2021-06-01T18:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.4063885317908393,30
2021-06-01T18:00:00Z,GAS,COGENERATION,3539.177260321114,5081
2021-06-01T18:00:00Z,GAS,COMBINED CYCLE,1494.108416354921,1756
2021-06-01T18:00:00Z,GAS,GAS FIRED STEAM,99.70078402201337,401
2021-06-01T18:00:00Z,GAS,SIMPLE CYCLE,611.2689051477115,1140
2021-06-01T18:00:00Z,HYDRO,HYDRO,371.46347586486075,894
2021-06-01T18:00:00Z,OTHER,BIOMASS,68.23727047125497,154
2021-06-01T18:00:00Z,OTHER,GAS COGEN,26.706767641703287,58
2021-06-01T18:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T18:00:00Z,OTHER,WOOD/REFUSE,58.37941977553898,158
2021-06-01T18:00:00Z,SOLAR,SOLAR,266.0635505716006,290
2021-06-01T18:00:00Z,WIND,WIND,88.39540141873889,1781
2021-06-01T19:00:00Z,COAL,COAL,2209.832645611233,3731
2021-06-01T19:00:00Z,DUAL FUEL,DUAL FUEL,659.6659873284234,940
2021-06-01T19:00:00Z,ENERGY STORAGE,ENERGY STORAGE,-0.10433324019114176,30
2021-06-01T19:00:00Z,GAS,COGENERATION,3499.0527131863437,5081
2021-06-01T19:00:00Z,GAS,COMBINED CYCLE,1491.116047993766,1756
2021-06-01T19:00:00Z,GAS,GAS FIRED STEAM,151.48844012790255,401
2021-06-01T19:00:00Z,GAS,SIMPLE CYCLE,606.1060150154432,1140
2021-06-01T19:00:00Z,HYDRO,HYDRO,365.9784845805168,894
2021-06-01T19:00:00Z,OTHER,BIOMASS,69.44483985582987,154
2021-06-01T19:00:00Z,OTHER,GAS COGEN,26.621349861356947,58
2021-06-01T19:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T19:00:00Z,OTHER,WOOD/REFUSE,58.2583372926712,158
2021-06-01T19:00:00Z,SOLAR,SOLAR,249.6093840596411,290
2021-06-01T19:00:00Z,WIND,WIND,74.43728825714025,1781
2021-06-01T20:00:00Z,COAL,COAL,2219.5958661566838,3731
2021-06-01T20:00:00Z,DUAL FUEL,DUAL FUEL,661.4400977071126,940
2021-06-01T20:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T20:00:00Z,GAS,COGENERATION,3471.5406014267605,5081
2021-06-01T20:00:00Z,GAS,COMBINED CYCLE,1473.0407818391586,1756
2021-06-01T20:00:00Z,GAS,GAS FIRED STEAM,195.98306902567543,401
2021-06-01T20:00:00Z,GAS,SIMPLE CYCLE,608.424630654388,1140
2021-06-01T20:00:00Z,HYDRO,HYDRO,328.41371336380644,894
2021-06-01T20:00:00Z,OTHER,BIOMASS,71.52767679691314,154
2021-06-01T20:00:00Z,OTHER,GAS COGEN,26.700613313251072,58
2021-06-01T20:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T20:00:00Z,OTHER,WOOD/REFUSE,60.53337145010631,158
2021-06-01T20:00:00Z,SOLAR,SOLAR,262.48344021836914,290
2021-06-01T20:00:00Z,WIND,WIND,79.8194055538459,1781
2021-06-01T21:00:00Z,COAL,COAL,2220.6184170362685,3731
2021-06-01T21:00:00Z,DUAL FUEL,DUAL FUEL,583.71354891883,940
2021-06-01T21:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T21:00:00Z,GAS,COGENERATION,3428.7248284358448,5081
2021-06-01T21:00:00Z,GAS,COMBINED CYCLE,1484.256007109748,1756
2021-06-01T21:00:00Z,GAS,GAS FIRED STEAM,324.2445825703939,401
2021-06-01T21:00:00Z,GAS,SIMPLE CYCLE,603.9031530335214,1140
2021-06-01T21:00:00Z,HYDRO,HYDRO,419.5767172021336,894
2021-06-01T21:00:00Z,OTHER,BIOMASS,70.14487589147356,154
2021-06-01T21:00:00Z,OTHER,GAS COGEN,26.700613199869792,58
2021-06-01T21:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T21:00:00Z,OTHER,WOOD/REFUSE,64.71140829298231,158
2021-06-01T21:00:00Z,SOLAR,SOLAR,234.95027320245902,290
2021-06-01T21:00:00Z,WIND,WIND,72.25123110143674,1781
2021-06-01T22:00:00Z,COAL,COAL,2222.46823471917,3731
2021-06-01T22:00:00Z,DUAL FUEL,DUAL FUEL,652.6479486465454,940
2021-06-01T22:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0.00472223970625135,30
2021-06-01T22:00:00Z,GAS,COGENERATION,3455.2745013264816,5081
2021-06-01T22:00:00Z,GAS,COMBINED CYCLE,1481.3397792900932,1756
2021-06-01T22:00:00Z,GAS,GAS FIRED STEAM,313.5905773417155,401
2021-06-01T22:00:00Z,GAS,SIMPLE CYCLE,593.7813903535737,1140
2021-06-01T22:00:00Z,HYDRO,HYDRO,424.02277888099354,894
2021-06-01T22:00:00Z,OTHER,BIOMASS,70.049942278862,154
2021-06-01T22:00:00Z,OTHER,GAS COGEN,26.74652996381124,58
2021-06-01T22:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T22:00:00Z,OTHER,WOOD/REFUSE,64.00617057376438,158
2021-06-01T22:00:00Z,SOLAR,SOLAR,236.8482728128963,290
2021-06-01T22:00:00Z,WIND,WIND,86.26763809489708,1781
2021-06-01T23:00:00Z,COAL,COAL,2223.114617733426,3731
2021-06-01T23:00:00Z,DUAL FUEL,DUAL FUEL,709.2550610054864,940
2021-06-01T23:00:00Z,ENERGY STORAGE,ENERGY STORAGE,0,30
2021-06-01T23:00:00Z,GAS,COGENERATION,3457.1493987551,5081
2021-06-01T23:00:00Z,GAS,COMBINED CYCLE,1477.9857146644592,1756
2021-06-01T23:00:00Z,GAS,GAS FIRED STEAM,268.1254067993164,401
2021-06-01T23:00:00Z,GAS,SIMPLE CYCLE,670.6264028957155,1140
2021-06-01T23:00:00Z,HYDRO,HYDRO,420.6076853688558,894
2021-06-01T23:00:00Z,OTHER,BIOMASS,69.94904619428847,154
2021-06-01T23:00:00Z,OTHER,GAS COGEN,26.030324179331465,58
2021-06-01T23:00:00Z,OTHER,OIL/GAS,0,53
2021-06-01T23:00:00Z,OTHER,WOOD/REFUSE,65.19740954928928,158
